066A71BC	university of notre dame
068A7232	canadian institute for advanced research
06EBDE64	dolby laboratories
06F984C4	purdue university calumet
070A58AF	new jersey institute of technology
0762DD98	epson
076AA9A4	international computers limited
07F892EC	university of helsinki
08117FD8	new york institute of technology
081BD043	university of deusto
085C9D9D	technical university of kenya
087E04C5	ecole polytechnique
08820D32	university of louisville
08D6D550	netherlands organisation for applied scientific research
095FFF3F	maynooth university
09630970	kaist
09988D7C	toyota technological institute at chicago
09E3EE34	national university of singapore
0A08A19C	chongqing university of science and technology
0A15C811	aston university
0A899CF4	murdoch university
0A9960BC	technical university of moldova
0B5EA747	paristech
0B7C6B14	university of lima
0BB0D1E0	international university of japan
0BC2585A	stanford university medical center
0BE339FA	american university of sharjah
0BF0184F	university of santiago de compostela
0BF72034	krannert school of management
0DEEAC00	pontifical xavierian university
3372241F	gmv innovating solutions
3399EB68	tutor com
352C263C	alfa
361FF5AE	career education corporation
363B46B5	london school of economics and political science
4D1C955A	tri service general hospital
4D354E04	boeing commercial airplanes
4E286443	apple inc
4E5B259B	allen institute for brain science
4FF45383	ibm
500EBE93	charles stark draper laboratory
00473244	university of rostock
005DC2E8	university of minnesota duluth
00C3D61B	university of wyoming
00D4F325	bar ilan university
00D956B2	hong kong polytechnic university
0151A617	university of derby
0173B19B	robert koch institute
018DD578	indian institute of information technology allahabad
01A6473F	indian institute of technology gandhinagar
021EBB72	kochi university of technology
0302DD9C	lunghwa university of science and technology
032B1770	madhav institute of technology and science
03438C46	interactive advertising bureau
04281A41	university of chile
043FA10E	community college of rhode island
04B18D93	university of la rochelle
04EB9A27	california college of the arts
04FFB057	institute of mathematics and informatics
0585C279	florida institute of oceanography
0586BB42	university of west bohemia
058C251A	bendix corporation
05BCC65E	college of engineering trivandrum
05C1AD22	leibniz institute for neurobiology
061DABA2	cleveland state university
0706F10D	national instruments
071B5A71	nicolaus copernicus university in torun
0729798C	kunsan national university
0743C345	defence science and technology organization
07454816	utah state university
07BD7CF7	universidad de guanajuato
07EB0D61	fuqua school of business
08AA33AF	costa rica institute of technology
08F92607	modul university vienna
0915E233	jawaharlal nehru university
096009DA	itron
09C9B410	king s college
09D7E4FA	university of queensland
0A567B93	university of applied sciences western switzerland
0A622A44	graduate school of management
0A887385	bell canada
0A9418E0	polytechnic university of turin
0ACD6137	national university of ireland
0AD2620C	united states army war college
0B002509	royal holloway university of london
0B00BA67	national institute of informatics
0B2B81D1	south china normal university
0BB8DCB1	universidad autonoma de san luis potosi
0BD857CA	jawaharlal nehru engineering college
0C103FFF	academy of sciences of the czech republic
0CECE932	ecole centrale paris
33957263	control group
4D76ACCE	department of science and technology
4D8B08D7	centralesupelec
4EB83D69	canon inc
4F3BE6AD	philips
4F4069DE	bhabha atomic research centre
4F884175	world bank
501CEEC2	howard hughes medical institute
8620BB61	walmart labs
007B4591	clemson university
01438A3B	kazan federal university
0153C041	national central university
01C5C92C	guangxi normal university
02A35E59	university of dusseldorf
02CBA8F9	hp software division
03099350	centers for medicare and medicaid services
0355C54D	rovira i virgili university
03565917	university of wollongong in dubai
03F2657D	long beach city college
03FB6E89	southern cross university
047EFC56	national ilan university
04AB1E96	malek ashtar university of technology
04BE3F72	university of pennsylvania
04BEE805	university of arkansas for medical sciences
0532B1F5	university of tulsa
061B6EC0	marquette university
06CBEAA9	university of north carolina at chapel hill
07668367	conservatoire national des arts et metiers
077489A2	fiat automobiles
07B04ACC	university of south wales
0833DAE3	tshwane university of technology
086912D1	nanchang institute of technology
087167FA	nanchang university
08802AB2	university of crete
088A680B	hasso plattner institute
0921D6FE	mellon institute of industrial research
09889E70	jinan university
09E03886	university of edinburgh school of informatics
0A8478AE	university of potsdam
0AD27695	georgia state university
0B47208B	yunnan university
0B755491	jerusalem college of technology
0BCE47B1	scientific and technological research council of turkey
0BFFF799	university of ferrara
0C124673	smith college
0D331261	university of the bio bio
11523008	california state university dominguez hills
3515A5D8	martin marietta materials inc
35F4A52E	shanghai university of international business and economics
